Ball Ball(126,121) 6.3 6.05 -3.00 0.00
Ball Ball(266,304) 13.3 15.2 -3.00 0.00
Ball Ball(294,354) 14.7 17.7 -3.00 0.00
Ball Ball(313,203) 15.65 10.15 -3.00 0.00
Ball Ball(27,33) 1.35 1.65 -3.00 0.00
Ball Ball(373,359) 18.65 17.95 -3.00 0.00
Ball Ball(223,155) 11.15 7.75 -3.00 0.00
Ball Ball(377,188) 18.85 9.4 -3.00 0.00
Ball Ball(215,147) 10.75 7.35 -3.00 0.00
Ball Ball(327,8) 16.35 0.4 -3.00 0.00
Ball Ball(171,334) 8.55 16.7 -3.00 0.00
Ball Ball(47,337) 2.35 16.85 -3.00 0.00
Ball Ball(50,198) 2.5 9.9 -3.00 0.00
Ball Ball(284,98) 14.2 4.9 -3.00 0.00
Ball Ball(111,226) 5.55 11.3 -3.00 0.00
Ball Ball(112,340) 5.6 17.0 -3.00 0.00
Ball Ball(233,250) 11.65 12.5 -3.00 0.00
Ball Ball(183,369) 9.15 18.45 -3.00 0.00
Ball Ball(281,261) 14.05 13.05 -3.00 0.00
Ball Ball(281,370) 14.05 18.5 -3.00 0.00
Ball Ball(362,354) 18.1 17.7 -3.00 0.00
Ball Ball(380,81) 19.0 4.05 -3.00 0.00
Ball Ball(359,37) 17.95 1.85 -3.00 0.00
Ball Ball(69,224) 3.45 11.2 -3.00 0.00
Ball Ball(36,290) 1.8 14.5 -3.00 0.00
Ball Ball(172,252) 8.6 12.6 -3.00 0.00
Ball Ball(336,207) 16.8 10.35 -3.00 0.00
Ball Ball(205,333) 10.25 16.65 -3.00 0.00
Ball Ball(45,310) 2.25 15.5 -3.00 0.00
Ball Ball(114,122) 5.7 6.1 -3.00 0.00
Ball Ball(172,209) 8.6 10.45 -3.00 0.00
Ball Ball(389,205) 19.45 10.25 -3.00 0.00
Ball Ball(99,83) 4.95 4.15 -3.00 0.00
Ball Ball(171,182) 8.55 9.1 -3.00 0.00
Ball Ball(277,149) 13.85 7.45 -3.00 0.00
Ball Ball(312,111) 15.6 5.55 -3.00 0.00
Ball Ball(133,102) 6.65 5.1 -3.00 0.00
Ball Ball(270,200) 13.5 10.0 -3.00 0.00
Ball Ball(256,308) 12.8 15.4 -3.00 0.00
Ball Ball(233,19) 11.65 0.95 -3.00 0.00
Ball Ball(116,16) 5.8 0.8 -3.00 0.00
Ball Ball(240,80) 12.0 4.0 -3.00 0.00
Ball Ball(69,7) 3.45 0.35 -3.00 0.00
Ball Ball(46,88) 2.3 4.4 -3.00 0.00
Ball Ball(106,129) 5.3 6.45 -3.00 0.00
Ball Ball(216,336) 10.8 16.8 -3.00 0.00
Ball Ball(158,338) 7.9 16.9 -3.00 0.00
Ball Ball(126,68) 6.3 3.4 -3.00 0.00
Ball Ball(340,290) 17.0 14.5 -3.00 0.00
Ball Ball(96,28) 4.8 1.4 -3.00 0.00
Ball Ball(136,218) 6.8 10.9 -3.00 0.00
Ball Ball(232,48) 11.6 2.4 -3.00 0.00
Ball Ball(67,135) 3.35 6.75 -3.00 0.00
Ball Ball(215,255) 10.75 12.75 -3.00 0.00
Ball Ball(72,92) 3.6 4.6 -3.00 0.00
Ball Ball(178,147) 8.9 7.35 -3.00 0.00
Ball Ball(144,195) 7.2 9.75 -3.00 0.00
Ball Ball(76,271) 3.8 13.55 -3.00 0.00
Ball Ball(225,220) 11.25 11.0 -3.00 0.00
Ball Ball(172,77) 8.6 3.85 -3.00 0.00
Ball Ball(309,136) 15.45 6.8 -3.00 0.00
Ball Ball(308,171) 15.4 8.55 -3.00 0.00
Ball Ball(63,246) 3.15 12.3 -3.00 0.00
Ball Ball(194,119) 9.7 5.95 -3.00 0.00
Ball Ball(131,48) 6.55 2.4 -3.00 0.00
Ball Ball(76,164) 3.8 8.2 -3.00 0.00
Ball Ball(43,56) 2.15 2.8 -3.00 0.00
Ball Ball(281,304) 14.05 15.2 -3.00 0.00
Ball Ball(231,285) 11.55 14.25 -3.00 0.00
Ball Ball(223,253) 11.15 12.65 -3.00 0.00
Ball Ball(350,259) 17.5 12.95 -3.00 0.00
Ball Ball(240,152) 12.0 7.6 -3.00 0.00
Ball Ball(384,144) 19.2 7.2 -3.00 0.00
Ball Ball(21,240) 1.05 12.0 -3.00 0.00
Ball Ball(308,333) 15.4 16.65 -3.00 0.00
Ball Ball(335,190) 16.75 9.5 -3.00 0.00
Ball Ball(302,139) 15.1 6.95 -3.00 0.00
Ball Ball(153,364) 7.65 18.2 -3.00 0.00
Ball Ball(141,68) 7.05 3.4 -3.00 0.00
Ball Ball(50,177) 2.5 8.85 -3.00 0.00
Ball Ball(85,189) 4.25 9.45 -3.00 0.00
Ball Ball(39,132) 1.95 6.6 -3.00 0.00
Ball Ball(212,337) 10.6 16.85 -3.00 0.00
Ball Ball(178,364) 8.9 18.2 -3.00 0.00
Ball Ball(41,257) 2.05 12.85 -3.00 0.00
Ball Ball(276,161) 13.8 8.05 -3.00 0.00
Ball Ball(311,104) 15.55 5.2 -3.00 0.00
Ball Ball(59,247) 2.95 12.35 -3.00 0.00
Ball Ball(151,317) 7.55 15.85 -3.00 0.00
Ball Ball(162,220) 8.1 11.0 -3.00 0.00
Ball Ball(255,245) 12.75 12.25 -3.00 0.00
Ball Ball(46,22) 2.3 1.1 -3.00 0.00
Ball Ball(209,218) 10.45 10.9 -3.00 0.00
Ball Ball(190,298) 9.5 14.9 -3.00 0.00
Ball Ball(35,53) 1.75 2.65 -3.00 0.00
Ball Ball(139,269) 6.95 13.45 -3.00 0.00
Ball Ball(154,229) 7.7 11.45 -3.00 0.00
Ball Ball(107,188) 5.35 9.4 -3.00 0.00
Ball Ball(381,265) 19.05 13.25 -3.00 0.00
Ball Ball(9,244) 0.45 12.2 -3.00 0.00
Ball Ball(378,133) 18.9 6.65 -3.00 0.00
Ball Ball(41,187) 2.05 9.35 -3.00 0.00
Ball Ball(199,164) 9.95 8.2 -3.00 0.00
Ball Ball(362,289) 18.1 14.45 -3.00 0.00
Ball Ball(373,30) 18.65 1.5 -3.00 0.00
Ball Ball(10,266) 0.5 13.3 -3.00 0.00
Ball Ball(266,41) 13.3 2.05 -3.00 0.00
Ball Ball(19,173) 0.95 8.65 -3.00 0.00
Ball Ball(56,338) 2.8 16.9 -3.00 0.00
Ball Ball(366,313) 18.3 15.65 -3.00 0.00
Ball Ball(194,311) 9.7 15.55 -3.00 0.00
Ball Ball(383,187) 19.15 9.35 -3.00 0.00
Ball Ball(238,119) 11.9 5.95 -3.00 0.00
Ball Ball(280,294) 14.0 14.7 -3.00 0.00
Ball Ball(34,306) 1.7 15.3 -3.00 0.00
Ball Ball(377,200) 18.85 10.0 -3.00 0.00
Ball Ball(185,340) 9.25 17.0 -3.00 0.00
Ball Ball(261,165) 13.05 8.25 -3.00 0.00
Ball Ball(93,299) 4.65 14.95 -3.00 0.00
Ball Ball(56,273) 2.8 13.65 -3.00 0.00
Ball Ball(300,130) 15.0 6.5 -3.00 0.00
Ball Ball(293,307) 14.65 15.35 -3.00 0.00
Ball Ball(377,45) 18.85 2.25 -3.00 0.00
Ball Ball(261,328) 13.05 16.4 -3.00 0.00
Ball Ball(127,33) 6.35 1.65 -3.00 0.00
Ball Ball(189,16) 9.45 0.8 -3.00 0.00
Ball Ball(74,392) 3.7 19.6 -3.00 0.00
Ball Ball(67,334) 3.35 16.7 -3.00 0.00
Ball Ball(391,4) 19.55 0.2 -3.00 0.00
